num	kind	verdict	gates	title
B02039	character	NEEDS-ENGINE	G22	工藤優作
B02047	character	NEEDS-ENGINE	NEW:変装で入替えた相手キャラの条件参照	工藤有希子
B02052	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	トランプ銃
B02052P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	トランプ銃
B02062	character	NEEDS-ENGINE	G05	世良真純
B02067	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	チョーカー型変声機
B02067P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	チョーカー型変声機
B02072	character	NEEDS-ENGINE	NEW:捜査の発見カード参照/条件	降谷零
B02072P	character	NEEDS-ENGINE	NEW:捜査の発見カード参照/条件	降谷零
B02080	character	NEEDS-ENGINE	NEW:カットイン使用observer	三池苗子
B02084	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	安室の愛車
B02084P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	安室の愛車
B02088	character	NEEDS-ENGINE	NEW:アクション証拠獲得阻止 + カットイン自己登場	犯人
B02088P	character	NEEDS-ENGINE	NEW:アクション証拠獲得阻止 + カットイン自己登場	犯人
B03003	character	NEEDS-ENGINE	G36	灰原哀
B03003P	character	NEEDS-ENGINE	G36	灰原哀
B03008	character	NEEDS-ENGINE	G03	阿笠博士
B03033	character	NEEDS-ENGINE	NEW:opp-side AP-debuff aura	遠山和葉
B03033P	character	NEEDS-ENGINE	NEW:opp-side AP-debuff aura	遠山和葉
B03046	character	NEEDS-ENGINE	NEW:stun-lock aura over opp auto-phase	怪盗キッド
B03046P	character	NEEDS-ENGINE	NEW:stun-lock aura over opp auto-phase	怪盗キッド
B03049	character	NEEDS-ENGINE	G25	黒羽盗一
B03049P	character	NEEDS-ENGINE	G25	黒羽盗一
B03051	character	NEEDS-ENGINE	G25	怪盗キッド
B03052	character	NEEDS-ENGINE	NEW:pre-disguise card reacts to being replaced	シャロン・ヴィンヤード
B03052P	character	NEEDS-ENGINE	NEW:pre-disguise card reacts to being replaced	シャロン・ヴィンヤード
B03057	character	NEEDS-ENGINE	NEW:action-target exclusion「指定してアクションできない」	槍田郁美
B03057P	character	NEEDS-ENGINE	NEW:action-target exclusion「指定してアクションできない」	槍田郁美
B03084	character	NEEDS-ENGINE	NEW:picked-scene-char→owner evidence verb|G42	降谷零
B03084P	character	NEEDS-ENGINE	NEW:picked-scene-char→owner evidence verb	降谷零
B03104	event	NEEDS-ENGINE	G12	24時間、年中無休
B03116	character	NEEDS-ENGINE	G31	ウォッカ
B03116P	character	NEEDS-ENGINE	G31	ウォッカ
B03126	character	NEEDS-ENGINE	NEW:hand-use color-restriction bypass	犯人
B03135	case	NEEDS-ENGINE	NEW:rewrite partner事件解決→alt-win「相手敗北」	あばよ…名探偵!!
B03135P	case	NEEDS-ENGINE	NEW:rewrite partner事件解決→alt-win「相手敗北」	あばよ…名探偵!!
B04003	character	NEEDS-ENGINE	G02|NEW:react to own char being chosen by opp	工藤新一
B04003P	character	NEEDS-ENGINE	G02|NEW:react to own char being chosen by opp	工藤新一
B04038	character	NEEDS-ENGINE	G24	白馬探
B04046	character	NEEDS-ENGINE	G10	赤井秀一
B04046P	character	NEEDS-ENGINE	G10	赤井秀一
B04048	character	NEEDS-ENGINE	NEW:draw-to-hand-size + 引いた枚数 return	羽田秀𠮷
B04048P	character	NEEDS-ENGINE	NEW:draw-to-hand-size + 引いた枚数 return	羽田秀𠮷
B04058	character	NEEDS-ENGINE	NEW:action[事件]自証拠獲得 observer	ジョディ・スターリング
B04063	event	NEEDS-ENGINE	G28	「諦めるなよ瑛海!!」
B04063P	event	NEEDS-ENGINE	G28	「諦めるなよ瑛海!!」
B04069	character	NEEDS-ENGINE	G14	佐藤美和子
B04069P	character	NEEDS-ENGINE	G14	佐藤美和子
B04072	character	NEEDS-ENGINE	NEW:相手攻撃者を色+Lvで制限	白鳥任三郎
B04073	character	NEEDS-ENGINE	NEW:guard観測+アクション対象名分岐	千葉和伸
B04075	character	NEEDS-ENGINE	NEW:相手カットイン/変装使用 reaction	白鳥任三郎
B04077	character	NEEDS-ENGINE	G36	松田陣平
B04077P	character	NEEDS-ENGINE	G36	松田陣平
B04084	event	NEEDS-ENGINE	G28	バカな作戦
B04088	character	NEEDS-ENGINE	NEW:相手現場枚数 scaled cost	スコッチ
B04088P	character	NEEDS-ENGINE	NEW:相手現場枚数 scaled cost	スコッチ
B04090	character	NEEDS-ENGINE	NEW:自カットイン使用 reaction	ライ
B05005	character	NEEDS-ENGINE	NEW:ネクストヒント色カード使用 reaction	江戸川コナン＆工藤新一
B05005P	character	NEEDS-ENGINE	NEW:ネクストヒント色カード使用 reaction	江戸川コナン＆工藤新一
B05005P2	character	NEEDS-ENGINE	NEW:ネクストヒント色カード使用 reaction	江戸川コナン＆工藤新一
B05007	character	NEEDS-ENGINE	NEW:カットイン抑止窓	妃英理
B05007P	character	NEEDS-ENGINE	NEW:カットイン抑止窓	妃英理
B05012	character	NEEDS-ENGINE	NEW:現場継続 self-trait/name付与	恩田遼平
B05015	character	NEEDS-ENGINE	G04	小嶋元次
B05031	character	NEEDS-ENGINE	NEW:相手キャラに相手デッキからセット	伊織無我
B05031P	character	NEEDS-ENGINE	NEW:相手キャラに相手デッキからセット	伊織無我
B05033	character	NEEDS-ENGINE	NEW:コスト代替リムーブで宣言	楠川探偵
B05041	event	NEEDS-ENGINE	NEW:セットカードによる host 保護継続	「オレのそばから離れんなや…」
B05041P	event	NEEDS-ENGINE	NEW:セットカードによる host 保護継続	「オレのそばから離れんなや…」
B05042	event	NEEDS-ENGINE	NEW:手札からイベントを使用する効果	ラブリースポット
B05045	character	NEEDS-ENGINE	NEW:FILE上→手札+手札→FILE底表向き	怪盗キッド＆黒羽快斗
B05045P	character	NEEDS-ENGINE	NEW:FILE上→手札+手札→FILE底表向き	怪盗キッド＆黒羽快斗
B05049	character	NEEDS-ENGINE	NEW:手札公開してデッキ上に移すコスト	中森青子
B05049P	character	NEEDS-ENGINE	NEW:手札公開してデッキ上に移すコスト	中森青子
B05051	character	NEEDS-ENGINE	NEW:self事件アクション禁止	京極真
B05062	event	NEEDS-ENGINE	NEW:リムーブ名+特徴 union count	鈴木家と京極真
B05068	character	NEEDS-ENGINE	G36	赤井務武
B05079	character	NEEDS-ENGINE	G09	世良真純
B05081	event	NEEDS-ENGINE	NEW:自他現場枚数比較で使用可	威嚇射撃
B05086P	character	NEEDS-ENGINE	G37	安室透＆降谷零
B05087	character	NEEDS-ENGINE	NEW:リムーブエリア離脱observer|G11	諸伏高明
B05087P	character	NEEDS-ENGINE	NEW:リムーブエリア離脱observer|G11	諸伏高明
B05087P2	character	NEEDS-ENGINE	NEW:リムーブエリア離脱observer|G11	諸伏高明
B05088	character	NEEDS-ENGINE	NEW:リムーブエリア離脱observer	大和敢助
B05088P	character	NEEDS-ENGINE	NEW:リムーブエリア離脱observer	大和敢助
B05088P2	character	NEEDS-ENGINE	NEW:リムーブエリア離脱observer	大和敢助
B05097	character	NEEDS-ENGINE	NEW:相手リフレッシュ証拠獲得抑止flag	鮫崎島治
B05101	character	NEEDS-ENGINE	NEW:継続特徴変更verb	毛利小五郎
B05103	event	NEEDS-ENGINE	NEW:証拠差分condition	「籌を帷幄の中に運らし…勝ちを千里の外に決す…」
B05103P	event	NEEDS-ENGINE	NEW:証拠差分condition	「籌を帷幄の中に運らし…勝ちを千里の外に決す…」
B05106	character	NEEDS-ENGINE	G37	ジン＆ウォッカ
B05106P	character	NEEDS-ENGINE	G37	ジン＆ウォッカ
B05115	character	NEEDS-ENGINE	G06	弁崎素江
B05117	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	コンコン
B05117P	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	コンコン
B05118	case	NEEDS-ENGINE	NEW:パートナー事件解決能力書換+alt-lose	裏切りの制裁
B05118P	case	NEEDS-ENGINE	NEW:パートナー事件解決能力書換+alt-lose	裏切りの制裁
B05119	case	NEEDS-ENGINE	NEW:パートナー事件解決能力書換+alt-lose	裏切りの矛先
B05119P	case	NEEDS-ENGINE	NEW:パートナー事件解決能力書換+alt-lose	裏切りの矛先
B05120	case	NEEDS-ENGINE	NEW:特徴filter手札使用禁止	集められた名探偵
B05120P	case	NEEDS-ENGINE	NEW:特徴filter手札使用禁止	集められた名探偵
B06003	character	NEEDS-ENGINE	NEW:現場LP合計condition|G37	毛利蘭＆江戸川コナン
B06003P	character	NEEDS-ENGINE	NEW:現場LP合計condition|G37	毛利蘭＆江戸川コナン
B06005	character	NEEDS-ENGINE	G28|NEW:scene-source stack(現場キャラを別キャラ下に)	阿笠博士
B06005P	character	NEEDS-ENGINE	G28|NEW:scene-source stack(現場キャラを別キャラ下に)	阿笠博士
B06006	character	NEEDS-ENGINE	G18	江戸川コナン
B06008	character	NEEDS-ENGINE	NEW:scene-source stack(self を別キャラ下に)	仮面ヤイバー
B06008P	character	NEEDS-ENGINE	NEW:scene-source stack(self を別キャラ下に)	仮面ヤイバー
B06012	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	石川五右衛門人形
B06012P	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	石川五右衛門人形
B06020	character	NEEDS-ENGINE	NEW:コンタクト発生verb(startContact未実装)	佐々木小次郎
B06023	character	NEEDS-ENGINE	G30	金棒博士
B06034	event	NEEDS-ENGINE	G30	鬼丸城
B06036	case	NEEDS-ENGINE	G30	鬼丸天下統一プロジェクト
B06036P	case	NEEDS-ENGINE	G30	鬼丸天下統一プロジェクト
B06037	character	NEEDS-ENGINE	G37	服部平次＆沖田総司
B06037P	character	NEEDS-ENGINE	G37	服部平次＆沖田総司
B06042	event	NEEDS-ENGINE	NEW:コンタクト発生verb(startContact未実装)	ここで会うたが百年目
B06042P	event	NEEDS-ENGINE	NEW:コンタクト発生verb(startContact未実装)	ここで会うたが百年目
B06046	character	NEEDS-ENGINE	G08	鉄刃
B06046P	character	NEEDS-ENGINE	G08	鉄刃
B06047	character	NEEDS-ENGINE	G08|G20	鉄刃
B06063	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	せんぷう剣
B06063P	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	せんぷう剣
B06064	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	刃新陰流風車
B06064P	event	NEEDS-ENGINE	NEW:set-card付与能力(conferred ability)	刃新陰流風車
B06065P	case	NEEDS-ENGINE	G40	伝説の玉探し
B06066	character	NEEDS-ENGINE	G37	怪盗キッド＆白馬探
B06066P	character	NEEDS-ENGINE	G37	怪盗キッド＆白馬探
B06072	character	NEEDS-ENGINE	G24|NEW:手札使用の事件色制限バイパス	かぐや
B06072P	character	NEEDS-ENGINE	G24|NEW:手札使用の事件色制限バイパス	かぐや
B06074	character	NEEDS-ENGINE	G37	沖矢昴＆世良真純
B06074P	character	NEEDS-ENGINE	G37	沖矢昴＆世良真純
B06078	character	NEEDS-ENGINE	G36	羽田秀𠮷
B06078P	character	NEEDS-ENGINE	G36	羽田秀𠮷
B06084	character	NEEDS-ENGINE	NEW:捜査の発見されたカード参照|G37	安室透＆榎本梓
B06084P	character	NEEDS-ENGINE	NEW:捜査の発見されたカード参照|G37	安室透＆榎本梓
B06085	character	NEEDS-ENGINE	NEW:現場キャラを相手の表向き証拠化	松田陣平
B06085P	character	NEEDS-ENGINE	NEW:現場キャラを相手の表向き証拠化	松田陣平
B06095	case	NEEDS-ENGINE	NEW:全自軍キャラへ継続特徴付与	榎本梓誘拐事件
B06095P	case	NEEDS-ENGINE	NEW:全自軍キャラへ継続特徴付与	榎本梓誘拐事件
B06098	character	NEEDS-ENGINE	G37	ベルモット＆シェリー
B06098P	character	NEEDS-ENGINE	G37	ベルモット＆シェリー
B06103	character	NEEDS-ENGINE	NEW:カード名指定の使用/登場禁止フラグ	ジン
B06103P	character	NEEDS-ENGINE	NEW:カード名指定の使用/登場禁止フラグ	ジン
B06104	event	NEEDS-ENGINE	NEW:ネクストヒント禁止フラグ	カッ
B06104P	event	NEEDS-ENGINE	NEW:ネクストヒント禁止フラグ	カッ
B06105	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	ブラックインパクト！
B06105P	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	ブラックインパクト！
B06106	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	白の世界
B06106P	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	白の世界
B06107	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	満月の夜の二元ミステリー
B06107P	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	満月の夜の二元ミステリー
B06108	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	漆黒の特急
B06108P	case	NEEDS-ENGINE	NEW:パートナー事件解決能力の書換+敗北勝利条件	漆黒の特急
B06109	case	NEEDS-ENGINE	NEW:特徴限定の手札使用禁止フラグ	紅の修学旅行
B06109P	case	NEEDS-ENGINE	NEW:特徴限定の手札使用禁止フラグ	紅の修学旅行
B07001	character	NEEDS-ENGINE	G36	毛利蘭＆灰原哀
