batch	label	memberCount	soleUnlock	additive	effort	stale	sampleCards	vocabAbsent	enginePlugPoint	cardTextPattern	representativeQuote
batch-leave-remove-disguise-hooks	P20 リムーブエリア離脱 observer (カードがリムーブエリアからデッキ/手札へ離れたとき反応)	6	3	pure-additive	M		B05088,B05087,B05088P	TRIGGERED_HOOKS に『remove:exit』(リムーブエリア離脱)hook 無。refresh()/remove.removeFromHere() に離脱カード列を載せた event.emit 無。in-play char が『リムーブエリアから離れたカードの色/特徴/レベル』で gate する matcher(removedCharMatches 相当の remove-area 版)無。注: B05087/P/P2 の3枚は G11(手札N枚以上/以下 condition)も併発のため本 primitive 単独では解禁不可、sole-unlock は B05088/P/P2 の3枚。	src/engine/mutate/deck.ts:100-145 refresh()。L113-114 で `s.players[p].deck.push(...remove); s.players[p].remove = []` を実行するが、リムーブエリアから離れるカードについて emit が一切無い。効果回収経路 src/engine/mutate/remove.ts:18-26 removeFromHere も splice のみで emit 無。TRIGGERED_HOOKS(triggered.ts:57-105) に remove-area-exit hook が無く、refresh/removeFromHere が離脱カード集合を payload に載せて emit する箇所が存在しない。	自分のリムーブエリアにある特定カードが、リムーブエリアから離れた(=リフレッシュでデッキへ戻った/効果で回収された)瞬間に在場キャラが反応する。B05087 諸伏高明:『自分のリムーブエリアにある〚特徴［長野県警］〛のキャラがリムーブエリアから離れたとき、AP7000以下のキャラを1枚まで選び、リムーブする。』 / B05088 大和敢助:『…リムーブエリアから離れたとき、キャラを1枚まで選び、ターン終了時までAP－1000する。』。公式Q&A=リフレッシュでリムーブエリアの該当キャラがシャッフルされデッキへ移った場合に発動する。	自分のリムーブエリアにある〚特徴［長野県警］〛のキャラがリムーブエリアから離れたとき
batch-leave-remove-disguise-hooks	P24 手札除去カードの【現場リムーブ時】効果を再起動する verb (cross-context 発火)	2	2	pure-additive	M		B08078,B08078P	AtomVerb に『invokeLeaveToRemoveOfCard』(指定 cardId の【現場リムーブ時】を virtual 発火する verb)無。handRemove + その除去カード def の leave:to-remove ability を queue する橋渡し処理無。『手札から除去する条件付き(ability-presence + level + 色)pick』+『発動させてもよい(任意)』を連結する atom 無。	src/engine/listeners/triggered.ts:503-555 handleLeaveToRemoveSelf。これは離場キャラの【現場リムーブ時】を virtual CardLocation(area:'scene') で発火する唯一の機構だが、scene.ts:240 removeToRemove の leave:to-remove emit からのみ起動し、手札除去(src/engine/mutate/hand.ts:18-24 remove は emit 無)からは届かない。任意 cardId の【現場リムーブ時】ability を effect 内から能動的に呼ぶ verb(atom)が AtomVerb(types/effect.ts) に存在しない。さらに validate.ts:178 は granted leave:to-remove を明示禁止しており、cross-context 発火は専用 atom が必要。	効果で手札から除去したカード(一度も現場にいない)の【現場リムーブ時】効果を、あたかも現場からリムーブされたかのように発動させる。B08078 ジン:『手札から【現場リムーブ時】を持つレベル7以下の【青】か【黒】のキャラを1枚リムーブしてもよい。そうした場合、カードを1枚引き、この効果によってリムーブしたカードの【現場リムーブ時】の効果を発動させてもよい。』。公式Q&A=手札からリムーブしたカードが解決中にリムーブエリアを離れても【現場リムーブ時】効果は発動でき、条件未達の【現場リムーブ時】を発動させても何も起こらない。	この効果によってリムーブしたカードの【現場リムーブ時】の効果を発動させてもよい
trigger-observer-hooks	P21+G02: 味方が相手効果で選ばれたとき反応する observer (own-char-chosen-by-opp hook)	4	4	structural	L		B08081,B04003,B08081P	TRIGGERED_HOOKS に 'char:chosen' 不在 / resolve-picks.ts・apply-pick.ts の pick 確定点に event.emit 無 / matcherCondition に『選んだのが相手か』『選ばれたのが自分のキャラか』を判定する triggerChosenMatches 不在 / 『無効にする(選び以降を全無効)』の negate effect kind 不在	src/engine/effect/resolve-picks.ts:408 (chosenIds 確定箇所、AI path) と src/engine/effect/apply-pick.ts:341-356 (human/AI pick 確定箇所) の両方に、char 候補が『選ばれた』直後に新 hook event.emit(state,'char:chosen',{chosen:uids, byPlayer},...) を挿す必要がある。現 vocab には pick 確定を通知する hook が一切無く、TRIGGERED_HOOKS (triggered.ts:79-160) に 'char:chosen' enum が不在。さらに『無効にする』即時解決 (rules/15 §即座解決) を表現する negate-replacement effect も別途必要。	「自分の現場のキャラが相手の能力や効果(『キャラを○枚まで選ぶ/選び』)で選ばれたとき、相手は手札を1枚リムーブしてもよい。そうしなかった場合それを無効にする」型のカウンター observer を実装可能にする。B08081 広田雅美 実テキスト引用: 「【相手ターン中】【ターン1】自分の現場にいるこのキャラ以外のキャラが相手の能力や効果によって選ばれたとき、相手は手札を1枚リムーブしてもよい。そうしなかった場合、それを無効にする。」。B04003 工藤新一は同型を【絆毛利蘭】で[毛利蘭]限定にした版。公式QA: アクション指定は『選ぶ』ではないので発動しない=選択(pick)verb限定。	自分の現場にいるこのキャラ以外のキャラが相手の能力や効果によって選ばれたとき、相手は手札を1枚リムーブしてもよい。そうしなかった場合、それを無効にする。
trigger-observer-hooks	P23: カットイン使用 observer (cutin-used trigger hook)	7	7	pure-additive	M		B02080,B09086,B04090	TRIGGERED_HOOKS に 'cutin:used' 不在 (effect:declared は cutin 自効果専用に gate 済) / matcherCondition に payload.cardId(使用cutin) の name/trait filter triggerCutinMatches 不在 / B04075/PR029 の『相手が【変装】使用』は disguise:into(既存hook) と OR 結合する multi-hook 観測が必要だが side(相手)判定の triggerPlayerIs を disguise:into payload に載せる必要	src/engine/flow/contact.ts:122 が cutin 使用時に event.emit(state,'effect:declared',{cardId,abilityId:'cutin'}) するが、triggered.ts:~210 のゲート `if(hookName==='effect:declared'&&trig.optional===true&&payload.abilityId!=='cutin')continue;` は cutin の『自効果』のみ発火させ、第三者 observer 経路が無い。非optional の effect:declared observer は全 hand-use/declared 等にも誤発火する。専用 hook 'cutin:used' を contact.ts:122 直後に emit + TRIGGERED_HOOKS へ追加が必要。使用カットインの name/trait 分岐 (B09086) には payload.cardId を読む triggerCutinMatches も必要。	「(自分/相手が)【カットイン】を使用したとき」を第三者キャラが観測して AP±/登場等を行う型。B02080 三池苗子 実テキスト引用: 「【自分ターン中】【ターン1】自分の現場にいる〚特徴［警察］〛のキャラのコンタクト中に自分が【カットイン】を使用したとき、このコンタクト中、そのキャラをAP＋1000する。」。B09086は使用したカットインの名前/特徴([諸伏景光]か[長野県警])で分岐、B04090は自カットイン使用でリムーブエリアから登場、B04075/PR029は『相手が【カットイン】か【変装】を使用したとき』。	自分の現場にいる〚特徴［警察］〛のキャラのコンタクト中に自分が【カットイン】を使用したとき、このコンタクト中、そのキャラをAP＋1000する。
trigger-observer-hooks	G04: 相手がミスリードしたとき反応 (misread-performed hook)	2	2	pure-additive	S		B09016,B05015	TRIGGERED_HOOKS に 'misread:performed' 不在 / misread.ts に emit 呼び出し無 (self-contained listener) / 1ミスリードキャラ毎に1発火させる per-trigger emit ループ無	src/engine/listeners/misread.ts (registerMisreadListener, reasoning:before-add 上で sleep+LP-X を inline 適用) は misread 実行後に card-triggerable な 'misread:performed' を一切 emit しない。misread.ts の AI defender 分岐 (各 pick で mutate.scene.setState 後) と human resolve 経路の両方に event.emit(state,'misread:performed',{misreadUid, byPlayer},...) を追加 + TRIGGERED_HOOKS へ 'misread:performed' enum 追加が必要。	「(相手が/このキャラが)〚ミスリード〛したとき」を観測して AP±/再アクティブ化する型。B05015 小嶋元次 実テキスト引用: 「相手が〚ミスリード〛したとき、ターン終了時までこのキャラをAP＋3000する。」(QA: ミスリードしたキャラ1枚ごとに発動=複数回)。B09016 円谷光彦は『このキャラが〚ミスリード〛したとき…このキャラをアクティブにする』(自身の misread を観測)。	相手が〚ミスリード〛したとき、ターン終了時までこのキャラをAP＋3000する。
trigger-observer-hooks	G05: 相手の証拠がリムーブされたとき observer (opp-evidence-removal hook)	1	1	pure-additive	M		B02062	TRIGGERED_HOOKS に 'evidence:removed'(原因非依存) 不在 / mutate/evidence.ts removeTop/removeAt/toRemove に emit 無 / matcherCondition で『リムーブされたのが相手の証拠か』を判定する triggerPlayerIs(owner) を載せる payload 無	src/engine/mutate/evidence.ts:33 removeTop / :45 removeAt / :78 toRemove のいずれも 'evidence:removed' を emit しない。既存 'evidence:remove-by-action' (flow/action-case.ts:42) はヒラメキ専用 (除去される証拠カード自身が対象、remove前) で原因限定。原因非依存の observer には mutate.evidence の各 remove 出口で event.emit(state,'evidence:removed',{owner},...) を emit + TRIGGERED_HOOKS へ 'evidence:removed' 追加が必要。複数 call-site のため wrap が要る。	「相手の証拠がリムーブされたとき」を在場キャラが観測してドロー等を行う型。B02062 世良真純 実テキスト引用: 「【自分ターン中】【ターン1】相手の証拠がリムーブされたとき、カードを1枚引く。」。公式QA: 自分のアクション以外(《犯人》等の効果)による相手証拠リムーブでも発動=リムーブ原因を問わない汎用 observer。アクション[事件]時のヒラメキ(remove前)とは別タイミングで、リムーブエリアに置かれた後に発火。	【自分ターン中】【ターン1】相手の証拠がリムーブされたとき、カードを1枚引く。
trigger-observer-hooks	G06: 手札からこのカードがリムーブされたとき反応 (hand-removal observer + source attribution)	1	1	structural	M		B05115	TRIGGERED_HOOKS に 'hand:removed' 不在 / mutate/hand.ts remove/discardToRemove に emit 無 / 離脱カード自身を拾う virtual-location handler 無 / リムーブ実行者(byPlayer) を payload に attribute する source-attribution 無	src/engine/mutate/hand.ts:18 remove / :28 discardToRemove は 'hand:removed' を一切 emit しない。さらに離脱したカード自身は collectCardsInPlay(triggered.ts) に出ないため、leave:to-remove と同様の virtual-location handler が必要。加えて『相手の能力や効果によって』の source 判定には、誰のどの効果がリムーブを起こしたか(byPlayer)を payload に載せる必要があり、cost-payment 経由(cost/pay.ts:7-9 viaCost suppress)は除外する semantics が要る。	「(相手の能力や効果によって)手札からこのカードがリムーブされたとき、このキャラをリムーブエリアから登場させてもよい」型。B05115 弁崎素江 実テキスト引用: 「【相手ターン中】相手の能力や効果によって手札からこのカードをリムーブしたとき、このキャラをリムーブエリアから登場させてもよい。」。リムーブ実行者(相手)の source 帰属 + 手札→リムーブ後にリムーブエリアから登場 という cross-zone 反応が要る。	【相手ターン中】相手の能力や効果によって手札からこのカードをリムーブしたとき、このキャラをリムーブエリアから登場させてもよい。
trigger-observer-hooks	P22: 自分が手札から特定カード名を公開したとき反応する observer (hand-reveal-name hook)	2	2	structural	M		B09004,B09004P	TRIGGERED_HOOKS に 'hand:reveal' 不在 / atom-handlers/core.ts:90 と cost/pay.ts:101 に reveal emit 無 / 公開 cardId の name 一致 filter triggerRevealMatches 不在 / cost-reveal が viaCost suppress を貫通する例外経路 無	src/engine/effect/atom-handlers/core.ts:90 atomHandReveal は公開時に何も emit しない (zone 不変、bind のみ)。src/engine/cost/pay.ts:101 revealFromHand cost も no-op (paidItems log のみ)。両経路に event.emit(state,'hand:reveal',{revealed:cardIds, byPlayer},...) + TRIGGERED_HOOKS へ 'hand:reveal' 追加が必要。公開名 filter は payload.revealed の cardId を name 照合する triggerRevealMatches が要る。cost 経路は viaCost suppress(pay.ts:7-9)を bypass させる必要がある(QA: 宣言コスト公開でも発動)。	「自分の能力や効果、宣言能力のコストによって手札から[指定名]を公開したとき」を観測して効果を行う型。B09004 毛利蘭 実テキスト引用: 「【絆工藤新一】【自分ターン中】【ターン1】自分の能力や効果、【宣言】能力のコストによって手札から〚カード名［工藤新一］〛か〚［毛利蘭］〛を公開したとき、手札を1枚リムーブしてもよい。…そうした場合、レベル7以下のキャラを1枚まで選び、リムーブする。」。QA: デッキ公開→手札追加では発動しない=『手札から公開』に限定。	自分の能力や効果、【宣言】能力のコストによって手札から〚カード名［工藤新一］〛か〚［毛利蘭］〛を公開したとき、手札を1枚リムーブしてもよい。…そうした場合、レベル7以下のキャラを1枚まで選び、リムーブする。
trigger-observer-hooks	P19: イベントが能力や効果によって使用された場合の分岐 (event use-source discrimination)	2	2	structural	L		B07026,B07026P	play-event-from-hand verb (P18) が未実装 (atom-handlers に該当 atom 無、misc.ts:66 は ban flag のみ) / effect:declared payload に use-source('hand'|'effect'|'ability') 属性 無 / イベント自身が自分の使用 source を後段 condition で読む eventUseSource condition 無	src/engine/flow/main/hand-use-card.ts:138 が通常手札使用を effect:declared{kind:'event-use'} で emit するが、『能力や効果でイベントを使用する』verb 自体が未実装 (src/engine/effect/atom-handlers/misc.ts:66 には eventUseBanned フラグのみ存在、play-event-from-hand verb 無し)。この verb を新設し、その使用経路で source='effect'/'ability' を区別する payload(use-source 属性)を付与する必要がある。現状 effect:declared payload には use-source 属性が無い。	「このイベントが能力や効果によって使用されていた場合、(追加効果)」=手札の使用(通常)か、能力/効果(他カードの『イベントを使用する』)経由かで分岐する型。B07026 相応しいお方 実テキスト引用: 「【パートナー緑】AP8000以下のキャラを1枚まで選び、リムーブする。このイベントが能力や効果によって使用されていた場合、カードを1枚引く。」。QA: 《遠山和葉＆大岡紅葉/B07015》の宣言能力や《ラブリースポット/B05042》の効果の『イベントを使用する』で使われた場合に条件成立。	このイベントが能力や効果によって使用されていた場合、カードを1枚引く。
trigger-observer-hooks	action[事件]自証拠獲得 observer (B04058) — evidence:gain hook 既出荷	1	1	pure-additive	S	STALE	B04058	なし (evidence:gain hook + triggerPlayerIs matcherCondition + selfSleep/oppDiscard verb は全て出荷済、cond/eval.ts:176 triggerPlayerIs 実在)	STALE: src/engine/listeners/triggered.ts:TRIGGERED_HOOKS に 'evidence:gain' は既に存在し、src/engine/flow/action-case.ts:111 が実証拠獲得時のみ emit。B08012/D04007/B06038/B01067 等 6 枚が既に hook を使用済 (selfOnly:true 版)。B04058 は『自分の現場のキャラ(=任意の自軍)』なので selfOnly を外し matcherCondition:{kind:'triggerPlayerIs', side:'self'} で表現可 (B02020 が同型 matcherCondition を setcard:leave で使用)。エンジン変更ゼロ=純 authoring。	「自分の現場にいるキャラのアクション［事件］によって証拠を得たとき、このキャラをスリープさせてもよい。そうした場合、相手は手札を1枚リムーブ」型。B04058 ジョディ・スターリング 実テキスト引用: 「【ターン1】自分の現場にいるキャラのアクション［事件］によって証拠を得たとき、このキャラをスリープさせてもよい。そうした場合、相手は手札を1枚リムーブする。」。この primitive は誤分類で、既存 evidence:gain hook で完全に表現可能 (非selfOnly + triggerPlayerIs:self)。	【ターン1】自分の現場にいるキャラのアクション［事件］によって証拠を得たとき、このキャラをスリープさせてもよい。そうした場合、相手は手札を1枚リムーブする。
